Owner,Description,DtAcquired,DtSold,SalesPrice,Cost
J,FREEPORT-MCMORAN INC,08/03/2021,08/04/2021,3591.98,3667.57
J,FB Put,09/13/2021,09/15/2021,2463.36,1931.61
J,X Put,04/09/2021,06/17/2021,1823.33,4616.64
J,AAPL Call,10/05/2021,10/06/2021,-923.23,0
J,SPY Put,11/15/2021,11/19/2021,0,556.59
J,X Put,08/19/2021,08/25/2021,1713.36,2066.61
J,X Call,08/10/2021,08/12/2021,2693.36,2656.61
J,X Call,08/05/2021,08/09/2021,3003.35,2356.61
J,X Put,08/13/2021,08/17/2021,2423.36,2016.61
